physics_model,physics_label,lambda,adj_r2,rmse,mae,mos_01,n_epochs,train_time_s
hooke_strain,Hooke (avg strain),0.001,0.9861147882846394,0.128800824830946,0.09618486589717154,0.3119738860957418,148,17.234311819076538
hooke_strain,Hooke (avg strain),0.003,0.9872865146118854,0.12324653134168953,0.09500828265025052,0.3126274204311417,192,18.482914924621582
hooke_strain,Hooke (avg strain),0.01,0.9867418970113278,0.12585865471777197,0.09507198424558741,0.31605153103993283,148,18.936601877212524
hooke_strain,Hooke (avg strain),0.03,0.9871313164598019,0.12399650715226583,0.09551890070925217,0.3267312688873445,192,20.142854928970337
hooke_strain,Hooke (avg strain),0.1,0.9864243366914072,0.1273570293474358,0.0981782951786813,0.3031485021171612,192,21.30755853652954
hooke_strain,Hooke (avg strain),0.3,0.9804547169935903,0.15281408057473572,0.11591206613791889,0.4854542142210044,129,13.660350561141968
hooke_strain,Hooke (avg strain),1.0,0.9704614151984278,0.18786126108682927,0.1425896039189743,0.41413516972819264,129,13.934635162353516
hooke_strain,Hooke (avg strain),3.0,0.938265564374529,0.27158522054602013,0.19702532067414943,0.6696132628356087,129,14.516355991363525
hooke_strain,Hooke (avg strain),10.0,0.8928885284189207,0.35773413639209517,0.25248387657537397,0.969779407206642,129,13.677279233932495
hooke_strain,Hooke (avg strain),30.0,0.8664219748465791,0.39949366829321514,0.2800005863211832,1.1179744307433244,129,14.827394008636475
energy_quad,Strain energy (RF² ∝ U),0.001,0.9863552443225124,0.1276807052914941,0.09606244402226206,0.3202565093867575,148,17.67697525024414
energy_quad,Strain energy (RF² ∝ U),0.003,0.98605876927776,0.12906038268542216,0.09684224557242956,0.3054519255988393,148,17.863554000854492
energy_quad,Strain energy (RF² ∝ U),0.01,0.9871264410992258,0.12401999325457355,0.09435593336514311,0.31783024919492353,192,23.142155170440674
energy_quad,Strain energy (RF² ∝ U),0.03,0.9872500755338267,0.12342302804779556,0.08849788629352733,0.41063633502102337,183,26.14891529083252
energy_quad,Strain energy (RF² ∝ U),0.1,0.9864801647432913,0.12709489041647676,0.09602588997791327,0.403802307253842,183,28.736942529678345
energy_quad,Strain energy (RF² ∝ U),0.3,0.9764453194624964,0.16775713495890146,0.12952019404603132,0.525327564483647,129,48.27089166641235
energy_quad,Strain energy (RF² ∝ U),1.0,0.958472288404977,0.22274675765039714,0.16170258194048281,0.4029665762243307,152,47.69444823265076
energy_quad,Strain energy (RF² ∝ U),3.0,0.92993474308172,0.28933018891955326,0.2094523512281672,0.5732176629935378,129,49.13194823265076
energy_quad,Strain energy (RF² ∝ U),10.0,0.9065332142886062,0.3341727595732833,0.22890651817572055,0.6137563769255748,193,68.28630018234253
energy_quad,Strain energy (RF² ∝ U),30.0,0.8846624273526453,0.3712169471077663,0.2625072526874419,0.6319021346760185,101,34.29339957237244
energy_rate,Energy rate (RF ∝ dU/dF),0.001,0.9874787854154325,0.12231102914088732,0.09310288846679339,0.321273019319539,192,75.4917356967926
energy_rate,Energy rate (RF ∝ dU/dF),0.003,0.9875566880326194,0.12192994725723405,0.09452280978119391,0.31665506136876687,192,18.61787700653076
energy_rate,Energy rate (RF ∝ dU/dF),0.01,0.9881211240587152,0.11913244760543769,0.0873934623058458,0.3881993430910158,183,17.3771493434906
energy_rate,Energy rate (RF ∝ dU/dF),0.03,0.9879037917584276,0.1202173135110054,0.08689397898211428,0.39814388812160945,183,18.834104776382446
energy_rate,Energy rate (RF ∝ dU/dF),0.1,0.9823485473159347,0.14522206823433753,0.10875267904801747,0.48307429922086326,129,14.200414180755615
energy_rate,Energy rate (RF ∝ dU/dF),0.3,0.9795210236807299,0.15642152408413537,0.11770966157154597,0.46973299623108367,129,13.671332120895386
energy_rate,Energy rate (RF ∝ dU/dF),1.0,0.9498518225209238,0.2447766395927171,0.1764773229712162,0.3328983777675418,152,16.198160886764526
energy_rate,Energy rate (RF ∝ dU/dF),3.0,0.8245184922134798,0.457886743095365,0.3220927076747982,0.43889638983529233,69,7.412748336791992
energy_rate,Energy rate (RF ∝ dU/dF),10.0,0.6595611847725216,0.6377668276553253,0.47216672743765875,1.0142086223384148,43,4.396138668060303
energy_rate,Energy rate (RF ∝ dU/dF),30.0,0.6475447102803712,0.6489248533765255,0.5322722474701472,1.51256721503727,42,4.317241191864014
